year,quarter,region,average_price_houses_sold,total_value_house_sales,total_number_house_sales,data_note,footnotes,data_source,region_code,geographic_boundary
2024,4,Whitehorse - City,657900,38814900,59,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH'>View boundary on map</a>
2024,4,Whitehorse - Copper Ridge,629600,9444200,15,Includes Ingram and Logan since 2008,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.CR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.CR'>View boundary on map</a>
2024,4,Whitehorse - Country Residential,789900,4739400,6,Includes Wolf Creek; Pineridge; Mary Lake; MacPherson; Hidden Valley; etc.,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.CNTRYRES,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.CNTRYRES'>View boundary on map</a>
2024,4,Whitehorse - Downtown,,,,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.DT,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.DT'>View boundary on map</a>
2024,4,Whitehorse - Granger,661500,1984500,3,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.GR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.GR'>View boundary on map</a>
2024,4,Whitehorse - Other,,,,Includes house sales in Hillcrest; Crestview; and Valleyview,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.OTH'>View boundary on map</a>
2024,4,Whitehorse - Porter Creek,673500,7409000,11,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.PC'>View boundary on map</a>
2024,4,Whitehorse - Riverdale,617200,3703000,6,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.RD,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.RD'>View boundary on map</a>
2024,4,Whitehorse - Takhini,,,0,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.TK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.TK'>View boundary on map</a>
2024,4,Whitehorse - Whistle Bend,672600,10762300,16,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.WB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.WB'>View boundary on map</a>
2024,3,Whitehorse - City,684500,65030500,95,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH'>View boundary on map</a>
2024,3,Whitehorse - Copper Ridge,677900,9490000,14,Includes Ingram and Logan since 2008,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.CR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.CR'>View boundary on map</a>
2024,3,Whitehorse - Country Residential,806700,9680900,12,Includes Wolf Creek; Pineridge; Mary Lake; MacPherson; Hidden Valley; etc.,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.CNTRYRES,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.CNTRYRES'>View boundary on map</a>
2024,3,Whitehorse - Downtown,650000,2600000,4,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.DT,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.DT'>View boundary on map</a>
2024,3,Whitehorse - Granger,,,,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.GR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.GR'>View boundary on map</a>
