year,region,total_permits,total_permit_value,residential_permits,new_residential_permits,value_residential_permits,industrial_permits,industrial_permit_value,gov_inst_permits,gov_inst_permit_value,commercial_permits,commercial_permit_value,data_note,footnotes,data_source,region_code,geographic_boundary
2013,Carmacks,23,462000,20,5,444000,1,5000,0,0,2,13000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2013,Destruction Bay,26,1268000,20,1,434000,0,0,1,623000,5,211000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2013,Dawson,96,3966000,70,12,1315000,5,65000,2,28000,19,2558000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2013,Faro,26,5044000,20,2,266000,0,0,6,4778000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2013,Haines Junction,46,1181000,42,6,1071000,0,0,4,110000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2013,Mayo,21,937000,15,5,726000,1,50000,1,5000,4,156000,Including Elsa and Keno.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2013,Old Crow,15,823000,14,8,573000,1,250000,0,0,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2013,Pelly Crossing,18,1107000,15,14,1030000,2,57000,0,0,1,19000,Including Stewart Crossing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2013,Ross River,12,6108000,5,0,30000,1,40000,5,6033000,1,5000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2013,Teslin,7,799000,5,0,178000,0,0,2,621000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2013,Whitehorse - City,850,39462000,730,142,20630000,7,98000,23,9691000,90,9043000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2013,Watson Lake,45,1788000,30,3,298000,0,0,6,236000,9,1254000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2012,Yukon,1751,100423000,1470,451,65748000,53,5847000,73,20135000,155,8693000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2012,Beaver Creek,4,109000,2,1,85000,0,0,0,0,2,24000,Including Burwash Landing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2012,Carcross,16,685000,8,1,164000,0,0,3,383000,5,138000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2012,Carmacks,18,875000,14,6,780000,0,0,2,85000,2,10000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2012,Destruction Bay,22,186000,20,1,157000,0,0,1,6000,1,23000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2012,Dawson,85,4289000,52,10,1577000,4,40000,7,2024000,22,648000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2012,Faro,29,981000,19,2,321000,0,0,10,660000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2012,Haines Junction,44,1743000,34,10,1471000,0,0,6,85000,4,187000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2012,Mayo,25,741000,14,5,677000,0,0,4,47000,7,18000,Including Elsa and Keno.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2012,Old Crow,1,3945000,0,0,0,0,0,1,3945000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2012,Pelly Crossing,11,1619000,5,1,207000,3,1380000,1,4000,2,28000,Including Stewart Crossing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2012,Ross River,14,227000,9,4,173000,0,0,3,23000,2,32000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2012,Teslin,47,2624000,43,4,792000,0,0,4,1832000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2012,Whitehorse - City,1128,73596000,973,341,50808000,32,4319000,23,10914000,100,7555000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2012,Watson Lake,64,1287000,52,8,1108000,3,47000,6,116000,3,17000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2011,Yukon,2027,176762000,1738,454,71510000,55,11224000,85,70754000,149,23274000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2011,Beaver Creek,24,1157000,21,5,1053000,0,0,3,105000,0,0,Including Burwash Landing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2011,Carcross,40,4222000,30,1,252000,0,0,8,3942000,2,29000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2011,Carmacks,21,942000,17,4,876000,1,9000,1,4000,2,53000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2011,Destruction Bay,29,2302000,26,0,187000,0,0,3,2115000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2011,Dawson,122,20842000,98,10,1605000,1,85000,11,18931000,12,221000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2011,Faro,16,328000,9,1,210000,0,0,2,41000,5,78000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2011,Haines Junction,46,3127000,36,12,1885000,1,7000,7,1180000,2,55000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2011,Mayo,32,5594000,18,6,1048000,5,2784000,5,526000,4,1236000,Including Elsa and Keno.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2011,Old Crow,51,1495000,51,4,1495000,0,0,0,0,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2011,Pelly Crossing,29,948000,21,0,531000,7,417000,1,0,0,0,Including Stewart Crossing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2011,Ross River,24,5999000,21,7,1138000,0,0,2,4856000,1,5000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2011,Teslin,43,951000,37,9,849000,0,0,0,0,6,102000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2011,Whitehorse - City,1203,97736000,1057,336,52503000,25,3597000,30,20700000,91,20936000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2011,Watson Lake,72,18123000,58,3,621000,1,5000,3,17196000,10,301000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2010,Yukon,1693,131816000,1363,308,49408000,80,13082000,101,47270000,149,22056000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2010,Beaver Creek,8,488000,3,2,129000,0,0,2,48000,3,310000,Including Burwash Landing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2010,Carcross,31,2375000,21,8,910000,0,0,6,1227000,4,237000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2010,Carmacks,16,6668000,6,4,360000,3,618000,3,0,4,5691000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2010,Destruction Bay,4,16000,4,0,16000,0,0,0,0,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2010,Dawson,96,8596000,77,9,5684000,0,0,4,2601000,15,311000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2010,Faro,24,827000,17,0,239000,2,355000,1,1000,4,232000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2010,Haines Junction,75,14608000,68,15,2624000,0,0,4,11968000,3,17000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2010,Mayo,25,2465000,17,2,620000,7,1839000,1,5000,0,0,Including Elsa and Keno.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2010,Old Crow,11,284000,10,5,269000,0,0,1,15000,0,0,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2010,Pelly Crossing,13,3826000,1,0,50000,10,1753000,2,2023000,0,0,Including Stewart Crossing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2010,Ross River,15,395000,12,3,205000,0,0,2,0,1,190000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2010,Teslin,29,1143000,24,4,844000,0,0,2,218000,3,81000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2010,Whitehorse - City,1068,68905000,867,195,27602000,44,2842000,61,24062000,96,14399000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2010,Watson Lake,66,4946000,50,6,1724000,4,160000,4,2883000,8,180000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2009,Yukon,1614,158300000,1361,208,42312000,51,17280000,88,85924000,114,12784000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2009,Beaver Creek,4,39000,3,0,29000,0,0,1,10000,0,0,Including Burwash Landing.,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2009,Carcross,21,1530000,14,5,721000,0,0,6,791000,1,19000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2009,Carmacks,20,1552000,15,1,157000,3,1343000,0,0,2,52000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2009,Destruction Bay,2,17000,1,0,5000,0,0,0,0,1,12000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2009,Dawson,147,1473000,134,6,1204000,1,0,2,134000,10,136000,,"""-"" Data has been amalgamated and therefore not available. ""Total"" permits do not include permits issued for wood stoves or plumbing. ""All"" refers to the total number of all residential permits issued.",Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
