year,region,number_of_businesses,number_of_workers_reported,data_note,footnotes,data_source,region_code,geographic_boundary
2007,Faro,30,72,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2007,Haines Junction,57,187,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2007,Marsh Lake,23,42,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2007,Mayo,27,102,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2007,Old Crow,10,85,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2007,Pelly Crossing,9,61,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2007,Ross River,12,57,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2007,Tagish,18,26,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2007,Teslin,37,216,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2007,Watson Lake,108,459,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2007,Whitehorse - City,1945,9946,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2007,Yukon - Other,22,117,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2007,Yukon,2500,12308,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2003,Beaver Creek,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2003,Burwash Landing,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2003,Carcross,10,26,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2003,Carmacks,12,47,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2003,Destruction Bay,,,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2003,Dawson,147,564,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2003,Faro,24,43,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2003,Haines Junction,56,106,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2003,Mayo,33,57,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2003,Marsh Lake,10,13,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2003,Old Crow,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2003,Pelly Crossing,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2003,Ross River,9,35,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2003,Tagish,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2003,Teslin,15,40,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2003,Watson Lake,96,302,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2003,Whitehorse - City,1556,7302,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2003,Yukon - Other,28,95,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2003,Yukon,1996,8630,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2001,Beaver Creek,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2001,Burwash Landing,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2001,Carcross,7,22,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2001,Carmacks,17,78,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2001,Destruction Bay,8,23,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2001,Dawson,154,820,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2001,Faro,25,40,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2001,Haines Junction,72,143,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2001,Mayo,38,75,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2001,Marsh Lake,8,25,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2001,Old Crow,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2001,Pelly Crossing,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2001,Ross River,10,39,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2001,Tagish,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2001,Teslin,19,65,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2001,Watson Lake,117,371,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2001,Whitehorse - City,1571,7768,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2001,Yukon - Other,,,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2001,Yukon,2066,9581,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
