year,quarter,region,median_rent,vacancy_rate,flag,data_note,footnotes,data_source,region_code,geographic_boundary
2024,4,Watson Lake,1024,7.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WL'>View boundary on map</a>
2024,4,Whitehorse - City,1310,1.3,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH'>View boundary on map</a>
2024,4,Whitehorse - Downtown,1280,0.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.DT,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.DT'>View boundary on map</a>
2024,4,Whitehorse - Porter Creek,1650,8.2,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.PC'>View boundary on map</a>
2024,4,Whitehorse - Riverdale,1441,0.6,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.RD,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.RD'>View boundary on map</a>
2024,4,Whitehorse - Upper,1292,1.3,,Includes Granger; Arkell; Copper Ridge; Ingram; Logan; Hillcrest; Takhini; Valleyview and Lobird/South Access. This aggregation has been made due to small numbers of surveyed buildings in these subdivisions.,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.UW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.UW'>View boundary on map</a>
2024,4,Whitehorse - Whistle Bend,2510,9.1,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WH.WB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WH.WB'>View boundary on map</a>
2024,1,Yukon,1295,1.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK'>View boundary on map</a>
2024,1,Dawson,1300,8.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.DW'>View boundary on map</a>
2024,1,Watson Lake,979,7.7,,,Figures are derived from the Yukon Rent Survey. As of March 2012 this information covers buildings with three units or more. Buildings with less than three units (such as houses; suites and duplexes) are not included in this survey. Prior to March 2012 buildings with four or more units were covered.,Rent Survey: Yukon Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2651d602cc484a3bb6e844a463b64e9b#GEO_CODE=YK.WL'>View boundary on map</a>
