year,region,median_age,data_note,footnotes,data_source,region_code,geographic_boundary
2021,Tagish,59.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2021,Teslin,45.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TA'>View boundary on map</a>
2021,Watson Lake,44,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2021,Whitehorse - Area,38.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WHA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WHA'>View boundary on map</a>
2021,Whitehorse - City,37.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2021,Yukon,39.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2020,Beaver Creek,39.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2020,Burwash Landing,43.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2020,Carcross,45.2,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2020,Carmacks,38.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2020,Dawson,40,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2020,Destruction Bay,50.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
