year,region,public_school_enrolment,data_note,footnotes,data_source,region_code,geographic_boundary
2020,Faro,48,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2020,Haines Junction,158,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2020,Mayo,61,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2020,Old Crow,38,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2020,Pelly Crossing,73,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2020,Ross River,47,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2020,Teslin,49,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2020,Watson Lake,213,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2019,Whitehorse - City,4358,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2019,Beaver Creek,8,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2019,Carcross,48,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2019,Carmacks,111,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2019,Dawson,233,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2019,Destruction Bay,8,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2019,Faro,56,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2019,Haines Junction,156,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2019,Mayo,62,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2019,Old Crow,42,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2019,Pelly Crossing,67,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2019,Ross River,52,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2019,Teslin,48,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2019,Watson Lake,207,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2018,Whitehorse - City,4283,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2018,Beaver Creek,7,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2018,Carcross,48,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2018,Carmacks,112,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2018,Dawson,239,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2018,Destruction Bay,7,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2018,Faro,52,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2018,Haines Junction,146,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2018,Mayo,64,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2018,Old Crow,36,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2018,Pelly Crossing,67,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2018,Ross River,54,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2018,Teslin,54,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2018,Watson Lake,217,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2017,Whitehorse - City,4270,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2017,Beaver Creek,8,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2017,Carcross,44,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2017,Carmacks,112,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2017,Dawson,248,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2017,Destruction Bay,9,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2017,Faro,45,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2017,Haines Junction,125,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2017,Mayo,60,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2017,Old Crow,38,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2017,Pelly Crossing,58,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2017,Ross River,56,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2017,Teslin,54,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2017,Watson Lake,216,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2016,Whitehorse - City,4176,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2016,Beaver Creek,10,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2016,Carcross,49,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2016,Carmacks,112,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2016,Dawson,233,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2016,Destruction Bay,7,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2016,Faro,49,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2016,Haines Junction,125,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2016,Mayo,48,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2016,Old Crow,37,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2016,Pelly Crossing,51,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2016,Ross River,56,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2016,Teslin,54,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2016,Watson Lake,217,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2015,Whitehorse - City,4185,Total including urban elementary and secondary schools (Christ the King Elementary; École Whitehorse Elementary School; Elijah Smith Elementary School; Golden Horn Elementary School; Grey Mountain Primary School; Hidden Valley Elementary School; Holy Family Elementary School; Jack Hulland Elementary School; Selkirk Elementary School; Takhini Elementary School;  Dámbü Tän Kets\'áda? K?? – Cliff Trail Elementary School (Whistle Bend est. 2025); École Émilie-Tremblay; Centre Scolaire Secondaire Communautaire Paul-Émile Mercier (CSSC Mercier est. 2020); F.H. Collins Secondary School; Individual Learning Centre; Porter Creek Secondary School and St. Francis of Assisi Catholic Secondary School. Prior to November 2020 Académie Parhélie experiential curriculum program was administered via École Émilie-Tremblay. Prior to June 2022 St. Francis of Assisi Catholic Secondary School was called Vanier Catholic Secondary School.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2015,Beaver Creek,6,Nelnah Bessie John School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2015,Carcross,48,Ghùch Tlâ Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2015,Carmacks,113,Tantalus Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2015,Dawson,209,Total including Robert Service School and Programme Confluence (est. 2023),Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2015,Destruction Bay,10,Kluane Lake School offers kindergarten through Grade 8.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2015,Faro,53,Del Van Gorder School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2015,Haines Junction,110,St. Elias Community School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2015,Mayo,53,J.V. Clark School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2015,Old Crow,26,Chief Zzeh Gittlit School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2015,Pelly Crossing,58,Eliza Van Bibber School,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2015,Ross River,49,Ross River School offers kindergarten through Grade 10.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2015,Teslin,48,Khàtinas.àxh Community School offers kindergarten through Grade 9.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2015,Watson Lake,206,Total including Johnson Elementary and Watson Lake Secondary schools.,Enrolment as of May 31st of each year.,Government of Yukon; Department of Education.,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
