census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Yukon,,,Total population aged 15 years and over by work activity during the reference year - 25% sample data,28880,14310,14570,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote164'>164</a>,6001
2016,Yukon,Total population aged 15 years and over by work activity during the reference year - 25% sample data,,Did not work,5980,2790,3190,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote165'>165</a>,6001
2016,Yukon,Total population aged 15 years and over by work activity during the reference year - 25% sample data,,Worked,22900,11525,11375,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked full year; full time,10865,5465,5405,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote166'>166</a>,6001
2016,Yukon,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked part year and/or part time,12030,6060,5975,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote167'>167</a>,6001
2016,Yukon,,,Average weeks worked in reference year,41.1,40.3,41.9,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Whitehorse - Area,,,Total population aged 15 years and over by work activity during the reference year - 25% sample data,22660,11080,11575,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote164'>164</a>,990
2016,Whitehorse - Area,Total population aged 15 years and over by work activity during the reference year - 25% sample data,,Did not work,4415,1960,2455,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote165'>165</a>,990
2016,Whitehorse - Area,Total population aged 15 years and over by work activity during the reference year - 25% sample data,,Worked,18240,9125,9120,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - Area,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked full year; full time,8930,4500,4430,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote166'>166</a>,990
2016,Whitehorse - Area,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Worked,Worked part year and/or part time,9310,4620,4690,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote167'>167</a>,990
2016,Whitehorse - Area,,,Average weeks worked in reference year,41.8,41.1,42.4,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=990'>View boundary on map</a>,,990
2016,Whitehorse - City,,,Total population aged 15 years and over by work activity during the reference year - 25% sample data,20015,9710,10305,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote164'>164</a>,6001009
2016,Whitehorse - City,Total population aged 15 years and over by work activity during the reference year - 25% sample data,,Did not work,3855,1655,2200,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote165'>165</a>,6001009
