census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Whitehorse - City,Total - Private households by household type - 100% data,One-census-family households,Without children in a census family,2470,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote13'>13</a>,6001009
2016,Whitehorse - City,Total - Private households by household type - 100% data,One-census-family households,With children in a census family,3990,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote14'>14</a>,6001009
2016,Whitehorse - City,Total - Private households by household type - 100% data,,Multiple-census-family households,185,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Whitehorse - City,Total - Private households by household type - 100% data,,Non-census-family households,3545,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Whitehorse - City,Total - Private households by household type - 100% data,Non-census-family households,One-person households,2980,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Whitehorse - City,Total - Private households by household type - 100% data,Non-census-family households,Two-or-more person non-census-family households,560,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2016,Alaska Highway North Region,,,Total - Private households by household type - 25% sample data,385,,,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=YBS042039049018'>View boundary on map</a>,,YBS042039049018
2016,Alaska Highway North Region,Total - Private households by household type - 25% sample data,,One-census-family households,220,,,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=YBS042039049018'>View boundary on map</a>,,YBS042039049018
2016,Alaska Highway North Region,Total - Private households by household type - 25% sample data,One-census-family households,Without children in a census family,110,,,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=YBS042039049018'>View boundary on map</a>,,YBS042039049018
2016,Alaska Highway North Region,Total - Private households by household type - 25% sample data,One-census-family households,With children in a census family,115,,,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=YBS042039049018'>View boundary on map</a>,,YBS042039049018
