census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2016,Yukon,,,Total - Income statistics in 2015 for economic families in private households - 100% data,9795,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote37'>37</a>,6001
2016,Yukon,Total - Income statistics in 2015 for economic families in private households - 100% data,,Median total income of economic families in 2015 ($),108816,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for economic families in private households - 100% data,,Median after-tax income of economic families in 2015 ($),94853,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for economic families in private households - 100% data,,Average family size of economic families,2.9,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,3890,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,Median total income of couple economic families without children or other relatives in 2015 ($),104425,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,Median after-tax income of couple economic families without children or other relatives in 2015 ($),90825,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,Average family size of couple economic families without children or other relatives,2,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,3860,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,Median total income of couple economic families with children in 2015 ($),139567,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,Median after-tax income of couple economic families with children in 2015 ($),119060,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,Average family size of couple economic families with children,3.9,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,1765,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,Median total income of lone-parent economic families in 2015 ($),62816,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,Median after-tax income of lone-parent economic families in 2015 ($),58386,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,Average family size of lone-parent economic families,2.6,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for economic families in private households - 25% sample data,9795,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2016-data-notes#datanote38'>38</a>,6001
2016,Yukon,Total - Income statistics in 2015 for economic families in private households - 25% sample data,,Average total income of economic families in 2015 ($),120618,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for economic families in private households - 25% sample data,,Average after-tax income of economic families in 2015 ($),102755,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,3900,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,Average total income of couple economic families without children or other relatives in 2015 ($),113004,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,Average after-tax income of couple economic families without children or other relatives in 2015 ($),95932,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,3885,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,Average total income of couple economic families with children in 2015 ($),151228,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,Average after-tax income of couple economic families with children in 2015 ($),127809,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
2016,Yukon,,,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,1750,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>,,6001
