year,month,region,all_benefits,regular_benefits,data_note,footnotes,data_source,region_code,geographic_boundary
2023,3,Old Crow,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001043,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>
2023,3,Pelly Crossing,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001041,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001041'>View boundary on map</a>
2023,3,Ross River,20,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001037,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001037'>View boundary on map</a>
2023,3,Tagish,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001036,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001036'>View boundary on map</a>
2023,3,Whitehorse - City,660,360,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>
2023,3,Watson Lake,30,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001003,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001003'>View boundary on map</a>
2023,2,Yukon,1180,810,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>
2023,2,Beaver Creek,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001042,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>
2023,2,Burwash Landing,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001039,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001039'>View boundary on map</a>
2023,2,Carmacks,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001012,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001012'>View boundary on map</a>
2023,2,Dawson,180,160,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001029,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001029'>View boundary on map</a>
2023,2,Faro,20,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001004,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001004'>View boundary on map</a>
2023,2,Haines Junction,50,50,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001018,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001018'>View boundary on map</a>
2023,2,Marsh Lake,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001058,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001058'>View boundary on map</a>
2023,2,Mayo,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001022,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>
2023,2,Mt. Lorne,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001044,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>
2023,2,Old Crow,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001043,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>
2023,2,Pelly Crossing,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001041,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001041'>View boundary on map</a>
2023,2,Ross River,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001037,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001037'>View boundary on map</a>
2023,2,Tagish,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001036,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001036'>View boundary on map</a>
2023,2,Whitehorse - City,710,400,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>
2023,2,Watson Lake,30,30,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001003,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001003'>View boundary on map</a>
2023,1,Yukon,1200,820,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>
2023,1,Beaver Creek,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001042,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>
2023,1,Burwash Landing,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001039,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001039'>View boundary on map</a>
2023,1,Carmacks,30,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001012,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001012'>View boundary on map</a>
2023,1,Dawson,180,170,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001029,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001029'>View boundary on map</a>
2023,1,Faro,20,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001004,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001004'>View boundary on map</a>
2023,1,Haines Junction,50,50,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001018,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001018'>View boundary on map</a>
2023,1,Marsh Lake,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001058,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001058'>View boundary on map</a>
2023,1,Mayo,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001022,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>
2023,1,Mt. Lorne,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001044,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>
2023,1,Old Crow,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001043,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>
2023,1,Pelly Crossing,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001041,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001041'>View boundary on map</a>
2023,1,Ross River,20,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001037,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001037'>View boundary on map</a>
2023,1,Tagish,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001036,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001036'>View boundary on map</a>
2023,1,Whitehorse - City,700,400,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>
2023,1,Watson Lake,40,40,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001003,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001003'>View boundary on map</a>
2022,12,Yukon,1130,740,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>
2022,12,Beaver Creek,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001042,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>
