census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Whitehorse - City,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,3575,,,,...,...,,,6001009
2011,Whitehorse - City,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,2060,,,,...,...,,,6001009
2011,Alaska Highway North Region,,,Total number of occupied private dwellings by condition of dwelling,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,285,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,90,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of occupied private dwellings by period of construction,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by period of construction,,1960 or before,20,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by period of construction,,1961 to 1980,120,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by period of construction,,1981 to 1990,80,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by period of construction,,1991 to 2000,95,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by period of construction,,2001 to 2005,25,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by period of construction,,2006 to 2011,35,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of occupied private dwellings by number of rooms,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,125,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of rooms,,5 rooms,95,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of rooms,,6 rooms,55,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of rooms,,7 rooms,45,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of rooms,,8 or more rooms,55,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Average number of rooms per dwelling,5,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of occupied private dwellings by number of bedrooms,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,60,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,120,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,140,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,60,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total number of occupied private dwellings by condition of dwelling,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001042
2011,Beaver Creek,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,40,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,15,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of occupied private dwellings by period of construction,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs99'>99</a>,6001042
2011,Beaver Creek,Total number of occupied private dwellings by period of construction,,1960 or before,10,,,,...,...,,,6001042
