census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Alaska Highway North Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,455,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Median commuting duration,Median commuting duration,6,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,455,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,65,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,325,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,65,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,70,35,35,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001042
2011,Beaver Creek,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,55,30,25,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,0,0,0,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,0,0,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,10,10,10,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,0,0,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,0,0,,,,,,6001042
2011,Beaver Creek,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,70,35,35,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001042
2011,Beaver Creek,,,Median commuting duration,Median commuting duration,5.4,5.5,5.4,,,,,,6001042
2011,Beaver Creek,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,70,35,35,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001042
2011,Beaver Creek,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,10,10,10,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,50,25,25,,,,,,6001042
2011,Beaver Creek,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,10,10,0,,,,,,6001042
2011,Burwash Landing,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,45,25,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001039
2011,Burwash Landing,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,30,15,15,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,0,0,0,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,0,0,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,10,0,0,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,0,0,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,0,0,,,,,,6001039
2011,Burwash Landing,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,45,25,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001039
2011,Burwash Landing,,,Median commuting duration,Median commuting duration,8.5,10.3,5.5,,,,,,6001039
2011,Burwash Landing,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,45,25,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001039
2011,Burwash Landing,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,0,0,0,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,30,15,10,,,,,,6001039
2011,Burwash Landing,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,0,0,0,,,,,,6001039
2011,Carcross,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,115,65,60,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001048
2011,Carcross,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,75,40,35,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,15,10,0,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,0,0,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,25,10,15,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,0,0,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,0,0,,,,,,6001048
2011,Carcross,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,115,60,60,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001048
2011,Carcross,,,Median commuting duration,Median commuting duration,10.4,15.2,5.9,,,,,,6001048
2011,Carcross,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,120,60,55,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001048
2011,Carcross,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,20,15,10,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,80,40,40,,,,,,6001048
2011,Carcross,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,15,10,10,,,,,,6001048
2011,Carcross Region,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,140,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,90,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,15,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,30,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,,,,,,,,6001008
2011,Carcross Region,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,140,,,,,,,,6001008
2011,Carcross Region,,,Median commuting duration,Median commuting duration,10,,,,,,,,6001008
2011,Carcross Region,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,145,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,25,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,100,,,,,,,,6001008
2011,Carcross Region,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,20,,,,,,,,6001008
2011,Carcross 4,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,25,10,10,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001008
2011,Carcross 4,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,20,0,10,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,0,0,0,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,0,0,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,0,0,0,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,0,0,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,0,0,,,,,,6001008
2011,Carcross 4,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,20,10,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001008
2011,Carcross 4,,,Median commuting duration,Median commuting duration,6,5.8,60,,,,,,6001008
2011,Carcross 4,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,20,10,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001008
2011,Carcross 4,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,0,0,0,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,15,10,10,,,,,,6001008
2011,Carcross 4,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,0,0,0,,,,,,6001008
2011,Carcross-Tagish Region,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,275,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,205,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,20,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,,,,,,,,6001012
2011,Carcross-Tagish Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,35,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,275,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,,,Median commuting duration,Median commuting duration,16,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,270,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,60,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,160,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,50,,,,,,,,YBS048008036
