census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,40,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,10,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,75,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,30,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,90,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,120,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,10,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,10,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,75,40,35,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs88'>88</a>,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs89'>89</a>,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,75,40,35,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,10,0,10,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,1 Business; finance and administration occupations,25,10,10,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,0,0,0,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,0,0,0,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,15,0,10,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,0,0,0,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,10,0,10,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,15,15,0,,,,,,6001042
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,0,0,0,,,,,,6001042
