census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,Common-law couples,1655,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,Without children at home,975,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,With children at home,685,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,1 child,340,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,2 children,250,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total couple families by family structure and number of children - Common-law couples,3 or more children,95,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,,Total lone-parent families by sex of parent and number of children,1435,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,Female parent,1060,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,1 child,615,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,2 children,310,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Female parent,3 or more children,130,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,Male parent,375,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,1 child,235,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,2 children,105,,,,...,...,,,6001
2011,Whitehorse - Area,Total number of census families in private households,Total lone-parent families by sex of parent and number of children - Male parent,3 or more children,40,,,,...,...,,,6001
2011,Whitehorse - Area,,,Total children in census families in private households,7545,,,,...,...,,,6001
2011,Whitehorse - Area,Total children in census families in private households,,Under six years of age,1770,,,,...,...,,,6001
2011,Whitehorse - Area,Total children in census families in private households,,6 to 14 years,2715,,,,...,...,,,6001
2011,Whitehorse - Area,Total children in census families in private households,,15 to 17 years,915,,,,...,...,,,6001
2011,Whitehorse - Area,Total children in census families in private households,,18 to 24 years,1565,,,,...,...,,,6001
2011,Whitehorse - Area,Total children in census families in private households,,25 years and over,585,,,,...,...,,,6001
2011,Whitehorse - Area,,,Average number of children at home per census family,1.1,,,,...,...,,,6001
2011,Whitehorse - City,,,Total number of census families in private households,6300,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census7'>7</a>,6001009
2011,Whitehorse - City,Total number of census families in private households,,Size of census family: 2 persons,3095,,,,...,...,,,6001009
2011,Whitehorse - City,Total number of census families in private households,,Size of census family: 3 persons,1465,,,,...,...,,,6001009
