census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Carcross,,,Land area in square kilometres,16.14,,,,...,...,,,6001048
2011,Carcross 4,,,Population; 2011,53,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS048008
2011,Carcross 4,,,Population; 2006,51,,,A,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS048008
2011,Carcross 4,,,Population percentage change; 2006 to 2011,3.9,,,,...,...,,,YBS048008
2011,Carcross 4,,,Total private dwellings,23,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,YBS048008
2011,Carcross 4,,,Private dwellings occupied by usual residents,23,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,YBS048008
2011,Carcross 4,,,Population density per square kilometre,71.7,,,,...,...,,,YBS048008
2011,Carcross 4,,,Land area in square kilometres,0.74,,,,...,...,,,YBS048008
2011,Carmacks,,,Population; 2011,503,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS048008036
2011,Carmacks,,,Population; 2006,425,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,YBS048008036
2011,Carmacks,,,Population percentage change; 2006 to 2011,18.4,,,,...,...,,,YBS048008036
2011,Carmacks,,,Total private dwellings,246,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,YBS048008036
2011,Carmacks,,,Private dwellings occupied by usual residents,196,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,YBS048008036
2011,Carmacks,,,Population density per square kilometre,13.6,,,,...,...,,,YBS048008036
2011,Carmacks,,,Land area in square kilometres,36.95,,,,...,...,,,YBS048008036
2011,Champagne Landing 10,,,Population; 2011,25,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001038
2011,Champagne Landing 10,,,Population; 2006,24,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001038
2011,Champagne Landing 10,,,Population percentage change; 2006 to 2011,4.2,,,,...,...,,,6001038
2011,Champagne Landing 10,,,Total private dwellings,34,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001038
2011,Champagne Landing 10,,,Private dwellings occupied by usual residents,16,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001038
2011,Champagne Landing 10,,,Population density per square kilometre,5.5,,,,...,...,,,6001038
2011,Champagne Landing 10,,,Land area in square kilometres,4.53,,,,...,...,,,6001038
2011,Dawson,,,Population; 2011,1319,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001029
2011,Dawson,,,Population; 2006,1327,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001029
2011,Dawson,,,Population percentage change; 2006 to 2011,-0.6,,,,...,...,,,6001029
2011,Dawson,,,Total private dwellings,727,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001029
2011,Dawson,,,Private dwellings occupied by usual residents,629,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001029
2011,Dawson,,,Population density per square kilometre,40.7,,,,...,...,,,6001029
2011,Dawson,,,Land area in square kilometres,32.45,,,,...,...,,,6001029
2011,Destruction Bay,,,Population; 2011,35,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001029
2011,Destruction Bay,,,Population; 2006,55,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001029
2011,Destruction Bay,,,Population percentage change; 2006 to 2011,-36.4,,,,...,...,,,6001029
2011,Destruction Bay,,,Total private dwellings,32,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001029
2011,Destruction Bay,,,Private dwellings occupied by usual residents,17,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001029
2011,Destruction Bay,,,Population density per square kilometre,2.6,,,,...,...,,,6001029
2011,Destruction Bay,,,Land area in square kilometres,13.57,,,,...,...,,,6001029
2011,Faro,,,Population; 2011,344,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001049
2011,Faro,,,Population; 2006,341,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001049
2011,Faro,,,Population percentage change; 2006 to 2011,0.9,,,,...,...,,,6001049
2011,Faro,,,Total private dwellings,444,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001049
2011,Faro,,,Private dwellings occupied by usual residents,167,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001049
2011,Faro,,,Population density per square kilometre,1.7,,,,...,...,,,6001049
2011,Faro,,,Land area in square kilometres,203.57,,,,...,...,,,6001049
2011,Haines Junction,,,Population; 2011,593,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001018
2011,Haines Junction,,,Population; 2006,589,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001018
2011,Haines Junction,,,Population percentage change; 2006 to 2011,0.7,,,,...,...,,,6001018
2011,Haines Junction,,,Total private dwellings,301,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001018
2011,Haines Junction,,,Private dwellings occupied by usual residents,260,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001018
2011,Haines Junction,,,Population density per square kilometre,17.2,,,,...,...,,,6001018
2011,Haines Junction,,,Land area in square kilometres,34.49,,,,...,...,,,6001018
2011,Ibex Valley,,,Population; 2011,346,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001055
2011,Ibex Valley,,,Population; 2006,376,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001055
2011,Ibex Valley,,,Population percentage change; 2006 to 2011,-8,,,,...,...,,,6001055
2011,Ibex Valley,,,Total private dwellings,155,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001055
2011,Ibex Valley,,,Private dwellings occupied by usual residents,138,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001055
2011,Ibex Valley,,,Population density per square kilometre,1.7,,,,...,...,,,6001055
2011,Ibex Valley,,,Land area in square kilometres,209.06,,,,...,...,,,6001055
2011,Johnsons Crossing,,,Population; 2011,15,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001047
2011,Johnsons Crossing,,,Population; 2006,15,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001047
2011,Johnsons Crossing,,,Population percentage change; 2006 to 2011,0,,,,...,...,,,6001047
2011,Johnsons Crossing,,,Total private dwellings,15,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001047
2011,Johnsons Crossing,,,Private dwellings occupied by usual residents,9,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001047
2011,Johnsons Crossing,,,Population density per square kilometre,0.7,,,,...,...,,,6001047
2011,Johnsons Crossing,,,Land area in square kilometres,21.76,,,,...,...,,,6001047
2011,Keno Hill,,,Population; 2011,28,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001047
2011,Keno Hill,,,Population; 2006,15,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001052
2011,Keno Hill,,,Population percentage change; 2006 to 2011,86.7,,,,...,...,,,6001052
2011,Keno Hill,,,Total private dwellings,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001052
2011,Keno Hill,,,Private dwellings occupied by usual residents,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001047
2011,Keno Hill,,,Population density per square kilometre,0.5,,,,...,...,,,6001047
2011,Keno Hill,,,Land area in square kilometres,53.86,,,,...,...,,,6001047
2011,Kloo Lake,,,Population; 2011,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001052
2011,Kloo Lake,,,Population; 2006,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001052
2011,Kloo Lake,,,Population percentage change; 2006 to 2011,,,,...,...,...,,,6001052
2011,Kloo Lake,,,Total private dwellings,3,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001052
2011,Kloo Lake,,,Private dwellings occupied by usual residents,1,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001052
2011,Kloo Lake,,,Population density per square kilometre,0,,,,...,...,,,6001052
2011,Kloo Lake,,,Land area in square kilometres,5.68,,,,...,...,,,6001052
2011,Klukshu,,,Population; 2011,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001019
2011,Klukshu,,,Population; 2006,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001019
2011,Klukshu,,,Population percentage change; 2006 to 2011,,,,...,...,...,,,6001019
2011,Klukshu,,,Total private dwellings,49,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001019
2011,Klukshu,,,Private dwellings occupied by usual residents,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001019
2011,Klukshu,,,Population density per square kilometre,0,,,,...,...,,,6001019
2011,Klukshu,,,Land area in square kilometres,5.04,,,,...,...,,,6001019
2011,Lake Laberge 1,,,Population; 2011,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001010
2011,Lake Laberge 1,,,Population; 2006,38,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001010
2011,Lake Laberge 1,,,Population percentage change; 2006 to 2011,-47.4,,,,...,...,,,6001010
2011,Lake Laberge 1,,,Total private dwellings,16,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census2'>2</a>,6001010
2011,Lake Laberge 1,,,Private dwellings occupied by usual residents,9,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census3'>3</a>,6001010
2011,Lake Laberge 1,,,Population density per square kilometre,14.4,,,,...,...,,,6001010
2011,Lake Laberge 1,,,Land area in square kilometres,1.39,,,,...,...,,,6001010
2011,Macpherson-Grizzly Valley,,,Population; 2011,1072,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001059
2011,Macpherson-Grizzly Valley,,,Population; 2006,851,,,A,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census1'>1</a>,6001059
2011,Macpherson-Grizzly Valley,,,Population percentage change; 2006 to 2011,26,,,,...,...,,,6001059
