census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Carcross-Tagish Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,100,,,,,,,,6001008
2011,Carcross-Tagish Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,615,,,,,,,,6001008
2011,Carcross-Tagish Region,Total population in private households by citizenship,,Not Canadian citizens,20,,,,,,,,6001008
2011,Dawson,,,Total population in private households by citizenship,1295,635,660,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001029
2011,Dawson,Total population in private households by citizenship,,Canadian citizens,1225,585,645,,,,,,6001029
2011,Dawson,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,165,80,85,,,,,,6001029
2011,Dawson,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,1060,505,560,,,,,,6001029
2011,Dawson,Total population in private households by citizenship,,Not Canadian citizens,65,55,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001029
2011,Faro,,,Total population in private households by citizenship,345,180,160,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001004
2011,Faro,Total population in private households by citizenship,,Canadian citizens,335,175,155,,,,,,6001004
2011,Faro,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,55,30,30,,,,,,6001004
2011,Faro,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,280,150,125,,,,,,6001004
2011,Faro,Total population in private households by citizenship,,Not Canadian citizens,10,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001004
2011,Haines Junction,,,Total population in private households by citizenship,625,295,325,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001018
2011,Haines Junction,Total population in private households by citizenship,,Canadian citizens,590,280,315,,,,,,6001018
2011,Haines Junction,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,130,55,75,,,,,,6001018
2011,Haines Junction,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,465,225,240,,,,,,6001018
2011,Haines Junction,Total population in private households by citizenship,,Not Canadian citizens,30,15,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001018
2011,Mt. Lorne,,,Total population in private households by citizenship,410,220,185,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001044
2011,Mt. Lorne,Total population in private households by citizenship,,Canadian citizens,375,215,165,,,,,,6001044
2011,Mt. Lorne,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,120,75,45,,,,,,6001044
2011,Mt. Lorne,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,260,135,125,,,,,,6001044
