census_year,geo_name,category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Whitehorse - Area,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,1155,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,650,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has fewer than five storeys,1830,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,55,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other single-attached house,90,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,1230,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote4'>4</a>,990
2021,Whitehorse - Area,,Total - Private households by household size - 100% data,13190,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Private households by household size - 100% data,1 person,3940,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Private households by household size - 100% data,2 persons,4485,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Private households by household size - 100% data,3 persons,2015,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Private households by household size - 100% data,4 persons,1775,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Private households by household size - 100% data,5 or more persons,965,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,,Number of persons in private households,31420,15540,15880,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,,Average household size,2.4,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - City,,Total - Occupied private dwellings by structural type of dwelling - 100% data,11435,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,5535,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Semi-detached house,1035,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,1150,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,640,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has fewer than five storeys,1825,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,55,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other single-attached house,70,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,1130,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote4'>4</a>,6001009
2021,Whitehorse - City,,Total - Private households by household size - 100% data,11440,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Private households by household size - 100% data,1 person,3310,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Private households by household size - 100% data,2 persons,3815,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Private households by household size - 100% data,3 persons,1840,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Private households by household size - 100% data,4 persons,1595,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Private households by household size - 100% data,5 or more persons,880,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,,Number of persons in private households,27725,13610,14115,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,,Average household size,2.4,,,,...,...,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
