census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Whitehorse - Area,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,530,275,255,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,175,105,70,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,4025,2125,1900,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - City,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,5960,3105,2855,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001009
2021,Whitehorse - City,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,870,460,410,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,5090,2645,2445,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,,,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Eligibility and instruction in the minority official language for school-aged children,4250,2235,2010,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote204'>204</a>,6001009
2021,Whitehorse - City,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,615,325,290,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,470,245,225,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Whitehorse - City,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,145,85,60,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
