census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Inuit single ancestry,Indigenous ancestry,135,60,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Multiple Indigenous ancestries (only),Indigenous ancestry,190,75,110,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote71'>71</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Métis ancestry only,Indigenous ancestry,120,40,85,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Inuit ancestry only,Indigenous ancestry,60,35,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Métis and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Métis and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,,Indigenous and non-Indigenous ancestries,Indigenous ancestry,4395,2095,2300,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote72'>72</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Single Indigenous and non-Indigenous ancestries,Indigenous ancestry,4300,2035,2270,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote73'>73</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and non-Indigenous ancestry only,Indigenous ancestry,3305,1585,1725,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and non-Indigenous ancestry only,Indigenous ancestry,885,400,485,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Inuit and non-Indigenous ancestry only,Indigenous ancestry,105,50,55,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
